Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;9371.0;112.0;2019.0;Gasolina;Manual;13900;Gyata
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;11195.0;112.0;2020.0;Gasolina;Manual;13900;Restrenacar
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;12898.0;112.0;2019.0;Gasolina;Manual;13900;NISSAN ALMENAR
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;17600.0;110.0;2019.0;Gasolina;Manual;13900;PSA Retail Barcelona - Guipuzcoa
PEUGEOT;2008;PEUGEOT 2008 Allure 1.2 PureTech 81KW 110CV SS 5p.;10075.0;110.0;2018.0;Gasolina;Manual;13950;Automóviles Coll
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;0.0;110.0;2020.0;Gasolina;Manual;13990;Clicars
RENAULT;Grand Kangoo Combi;RENAULT Grand Kangoo Combi M1AF 7p Energy dCi 81kW 110CV Euro 6;6000.0;110.0;2019.0;Diésel;Manual;13990;VGR MOTOR
SKODA;Octavia;SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.;7591.0;115.0;2019.0;Gasolina;Manual;13990;Ams Conde
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.;6800.0;112.0;2019.0;Gasolina;Manual;13995;Armas Motor Sl
TOYOTA;Yaris;1.5 Dual VVT-iE Active;15935.0;110.0;2019.0;Gasolina;Manual;13999;Autohero.com
PEUGEOT;208;PEUGEOT 208 5P GTLine 1.2L PureTech 81KW 110CVSS 5p.;8039.0;110.0;2019.0;Gasolina;Automático;14000;Ok Cars
PEUGEOT;208;PEUGEOT 208 5P GTLine 1.2L PureTech 81KW 110CVSS 5p.;8848.0;110.0;2019.0;Gasolina;Automático;14000;OK Cars
PEUGEOT;208;PEUGEOT 208 5P GTLine 1.2L PureTech 81KW 110CVSS 5p.;13957.0;110.0;2019.0;Gasolina;Automático;14000;Ok Cars
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;11427.0;110.0;2020.0;Gasolina;Manual;14100;PSA RETAIL A CORUÑA
SEAT;León;SEAT Leon ST 1.6 TDI 85kW 115CV StSp Style 5p.;11212.0;115.0;2019.0;Diésel;Manual;14250;Ok Cars
SEAT;León;SEAT Leon ST 1.6 TDI 85kW 115CV StSp Style 5p.;15323.0;115.0;2019.0;Diésel;Manual;14250;Ok Cars
SEAT;León;SEAT Leon ST 1.6 TDI 85kW 115CV StSp Style 5p.;9699.0;115.0;2019.0;Diésel;Manual;14250;OK Cars
SEAT;León;SEAT Leon ST 1.6 TDI 85kW 115CV StSp Style 5p.;10064.0;115.0;2019.0;Diésel;Manual;14250;Ok Cars
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;0.0;110.0;2020.0;Gasolina;Manual;14290;Clicars
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;14921.0;110.0;2020.0;Gasolina;Manual;14300;Sansemovil
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;15587.0;110.0;2020.0;Gasolina;Manual;14300;Mosancar
KIA;Venga;KIA Venga 1.6 CRDi VGT 85kW 115CV Tech 5p.;16000.0;115.0;2018.0;Diésel;Manual;14350;Ulsan Motor
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;0.0;110.0;2020.0;Gasolina;Manual;14390;Clicars
RENAULT;Mégane;RENAULT Megane Limited Blue dCi 85 kW 115CV 5p.;0.0;115.0;2019.0;Diésel;Manual;14390;Clicars
FIAT;Doblò Cargo;FIAT Doblo Cargo Cargo Base 1.4 TJet 88kW Natu Power CNG;1.0;120.0;2019.0;Gas natural;Manual;14390;Fiat Seminuevos
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;4825.0;110.0;2020.0;Gasolina;Manual;14390;PSA Retail Barcelona - Sant Boi
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Origins 5p.;14000.0;110.0;2020.0;Gasolina;Manual;14400;Automocion Alcala
RENAULT;Clio;RENAULT Clio Zen Energy TCe 87kW 120CV EDC 5p.;14000.0;120.0;2018.0;Gasolina;Automático;14490;LG Automocion
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;18347.0;112.0;2019.0;Gasolina;Manual;14490;Nissan Reus (Concesionario Oficial)
SSANGYONG;Tivoli;SSANGYONG Tivoli G16 Limited 4x2 5p.;16100.0;128.0;2018.0;Gasolina;Manual;14500;Comercial Framay
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;10333.0;110.0;2020.0;Gasolina;Automático;14590;Clicars
FIAT;Tipo;FIAT Tipo 1.4 TJet 16v 88kW 120CV SDesign 5p.;9000.0;120.0;2018.0;Gasolina;Manual;14590;Conquecoche.com
HYUNDAI;i30;HYUNDAI i30 1.0 TGDI Klass 5p.;4700.0;120.0;2020.0;Gasolina;Manual;14599;Autohero
DACIA;Duster;DACIA Duster Comfort 1.6 85kW 115CV 4X2 5p.;6719.0;115.0;2019.0;Gasolina;Manual;14690;Málaga Ocasión
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;11333.0;110.0;2020.0;Gasolina;Automático;14690;Clicars
DACIA;Duster;DACIA Duster Prestige Bl. dCi 85kW115CV 4X4 5p.;12100.0;115.0;2019.0;Diésel;Manual;14700;2344521e389d6897ae7af9abf16e7ccc
FORD;Fiesta;FORD Fiesta 1.0 EcoBoost 92kW STLine SS 5p 5p.;16628.0;125.0;2019.0;Gasolina;Manual;14700;Click Autos
FORD;Focus;FORD Focus 1.0 Ecoboost 92kW STLine 5p.;18574.0;125.0;2018.0;Gasolina;Manual;14700;Almoauto
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;12453.0;110.0;2019.0;Gasolina;Manual;14750;CITROEN Barbera,Manresa,Terrassa,Igualada,SBD...
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;0.0;110.0;2020.0;Gasolina;Automático;14790;Clicars
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;16000.0;110.0;2019.0;Gasolina;Manual;14895;Citroen Viuda de Terry
SKODA;Fabia;SKODA Fabia 1.0 TSI 81KW 110cv Monte Carlo 5p.;5791.0;110.0;2019.0;Gasolina;Automático;14899;Autohero
SEAT;León;SEAT Leon 1.0 EcoTSI 85kW StSp Style Visio Edit 5p.;10719.0;115.0;2019.0;Gasolina;Manual;14900;Automóviles 3Darc
PEUGEOT;308;PEUGEOT 308 5p Allure 1.2 PureTech 96KW 130CV 5p.;8185.0;130.0;2018.0;Gasolina;Manual;14900;Ocasion Plus Getafe
KIA;Ceed Tourer;KIA Ceed Tourer Tourer 1.0 TGDi 88kW 120CV Concept 5p.;16200.0;120.0;2019.0;Gasolina;Manual;14900;Eleckai Motor
HYUNDAI;Kona;HYUNDAI Kona 1.0 TGDi Essence 4x2 5p.;6667.0;120.0;2019.0;Gasolina;Manual;14900;Carza Ocasión
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.;18259.0;112.0;2019.0;Gasolina;Manual;14900;NISSAN ALMENAR
