Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Hyundai,Tucson,1.6 CRDi Klass,21999,Diésel,2020-01-01,18049.0,116,5,Manual,Blanco,Autohero.com
Kia,Picanto,1.0 CVVT Eco-Dynamics Concept,10099,Gasolina,2019-01-01,17867.0,67,5,Manual,Blanco,Autohero.com
Ford,Focus,1.0 EcoBoost ST-Line,14899,Gasolina,2017-01-01,18181.0,125,5,Manual,Rojo,Autohero.com
Seat,Ibiza,1.0 TSI Reference,13299,Gasolina,2019-01-01,18318.0,95,5,Manual,Blanco,Autohero.com
Seat,Arona,1.0 TSI Ecomotive Reference,14699,Gasolina,2019-01-01,18331.0,95,5,Manual,Rojo,Autohero.com
Dacia,Sandero II,0.9 TCe Laureate,6999,Gasolina,2013-01-01,18390.0,90,5,Manual,Blanco,Autohero.com
Hyundai,i30,2.0 T-GDI N,30999,Gasolina,2022-01-01,18413.0,250,5,Manual,Azul,Autohero.com
Fiat,500C,1.0 Mild-Hybrid Connect,16299,Gasolina,2021-01-01,18499.0,70,3,Manual,Blanco,Autohero.com
Fiat,Panda,1.2 Lounge,10599,Gasolina,2019-01-01,18520.0,70,5,Manual,Gris,Autohero.com
Ford,Focus,1.0 EcoBoost ST-Line,19899,Gasolina,2019-01-01,18607.0,125,5,Manual,Azul,Autohero.com
Renault,Megane,1.5 Blue dCi Zen,19199,Diésel,2020-01-01,18975.0,116,5,Automático,Gris,Autohero.com
Toyota,Yaris,1.5 Active,12199,Gasolina,2017-01-01,18866.0,110,5,Manual,Gris,Autohero.com
Renault,Clio,1.0 TCe Zen,15399,Gasolina,2020-01-01,19516.0,101,5,Manual,Naranja,Autohero.com
Hyundai,i30,2.0 T-GDI N Performance,33999,Gasolina,2021-01-01,19619.0,280,5,Manual,Negro,Autohero.com
Opel,Corsa,1.4 Selective,9999,Gasolina,2016-01-01,19714.0,90,5,Manual,Blanco,Autohero.com
Peugeot,108,1.0 VTi TOP Allure,11799,Gasolina,2018-01-01,19930.0,72,5,Automático,Blanco,Autohero.com
Ford,Tourneo Courier,1.0 Trend,14699,Gasolina,2017-01-01,20042.0,100,5,Manual,Azul,Autohero.com
Seat,Arona,1.0 TSI Reference,15499,Gasolina,2020-01-01,20079.0,95,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.5 Hybrid Active,16299,Híbrido,2020-01-01,20122.0,75,5,Automático,Rojo,Autohero.com
Toyota,Yaris,1.5 Dual VVT-iE Active,13099,Gasolina,2018-01-01,20274.0,110,5,Manual,Plata,Autohero.com
Nissan,Qashqai,1.7 dCi N-Connecta,22299,Diésel,2019-01-01,20356.0,150,5,Manual,Rojo,Autohero.com
Renault,Arkana,1.3 TCe Intens Microhíbrido,24599,Gasolina,2021-01-01,20398.0,140,5,Automático,Blanco,Autohero.com
Kia,Sportage,1.7 CRDi Drive 2WD,20999,Diésel,2017-01-01,20435.0,140,5,Automático,Blanco,Autohero.com
