Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Citroen,DS3,1.2 VTi Urban Shot,9199,Gasolina,2014-01-01,57425.0,82,3,Manual,Rojo,Autohero.com
Mazda,3,1.8 D Evolution,19299,Diésel,2019-01-01,57546.0,116,5,Manual,Blanco,Autohero.com
Peugeot,208,1.6 Blue-HDi Style,10299,Diésel,2017-01-01,57579.0,75,5,Manual,Rojo,Autohero.com
Nissan,Juke,1.5 dCi Acenta,10199,Diésel,2012-01-01,57591.0,110,5,Manual,Blanco,Autohero.com
Land,Rover Evoque,2.0 ed4 4x2 SE,23199,Diésel,2018-01-01,57671.0,150,5,Manual,Plata,Autohero.com
Opel,Corsa,1.2 Expression,7799,Gasolina,2014-01-01,57681.0,85,5,Manual,Negro,Autohero.com
Seat,Ibiza,1.2 Reference,7899,Gasolina,2012-01-01,57771.0,70,3,Manual,Blanco,Autohero.com
Toyota,Yaris,1.0 Business,11599,Gasolina,2019-01-01,57789.0,69,5,Manual,Rojo,Autohero.com
Peugeot,508,1.6 Hybrid GT Pack PHEV,31399,Híbrido,2021-01-01,57875.0,224,5,Automático,Azul,Autohero.com
Opel,Corsa,1.4 Turbo Selective ecoFlex,12099,Gasolina,2019-01-01,57881.0,100,5,Manual,Plata,Autohero.com
Renault,Clio,0.9 Energy Dynamique,9799,Gasolina,2013-01-01,58028.0,90,5,Manual,Rojo,Autohero.com
Peugeot,308,2.0 Blue-HDi GT Line,15899,Diésel,2017-01-01,58183.0,150,5,Manual,Azul,Autohero.com
Smart,ForTwo,0.9 Turbo Basis passion,11399,Gasolina,2017-01-01,58253.0,90,3,Automático,Gris,Autohero.com
Hyundai,i20,1.4 CRDi Essence,11299,Diésel,2017-01-01,58422.0,90,5,Manual,Marrón,Autohero.com
Kia,Rio,1.2 Concept,9999,Gasolina,2017-01-01,58434.0,85,5,Manual,Blanco,Autohero.com
Volkswagen,Polo,1.4 Advance,7799,Gasolina,2011-01-01,58596.0,86,5,Manual,Negro,Autohero.com
Renault,Clio,1.5 dCi Dynamique eco2,7399,Diésel,2012-01-01,58633.0,88,5,Manual,Gris,Autohero.com
Peugeot,5008,1.2 PureTech Allure,23999,Gasolina,2018-01-01,58662.0,130,5,Manual,Blanco,Autohero.com
Land,Rover Discovery Sport,2.0 Td4 SE,22599,Diésel,2017-01-01,58748.0,150,5,Automático,Blanco,Autohero.com
Citroen,C4 Cactus,1.2 PureTech Shine,14699,Gasolina,2018-01-01,58764.0,110,5,Manual,Azul,Autohero.com
Smart,ForTwo,0.9 Passion,11399,Gasolina,2016-01-01,58931.0,90,3,Automático,Negro,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,9599,Gasolina,2017-01-01,58952.0,90,5,Manual,Blanco,Autohero.com
Kia,Sportage,1.6 MHEV Drive 2WD,21999,Diésel,2021-01-01,59017.0,116,5,Manual,Blanco,Autohero.com
Volkswagen,Caddy,1.4 TSI Trendline BlueMotion,21799,Gasolina,2018-01-01,59180.0,125,5,Manual,Plata,Autohero.com
Toyota,RAV 4,2.5 Hybrid Advance 4WD,23999,Híbrido,2017-01-01,59294.0,155,5,Automático,Gris,Autohero.com
Mercedes-Benz,Clase A,A 220,29199,Gasolina,2019-01-01,59394.0,190,5,Automático,Negro,Autohero.com
Jeep,Renegade,1.0 TGDi Sport 4x2,17199,Gasolina,2019-01-01,59469.0,120,5,Manual,Naranja,Autohero.com
Opel,Meriva,1.7 CDTI Selective,8499,Diésel,2014-01-01,59478.0,110,5,Manual,Blanco,Autohero.com
Kia,Picanto,1.2 GT Line,11899,Gasolina,2018-01-01,59746.0,85,5,Manual,Blanco,Autohero.com
Toyota,RAV 4,2.5 Hybrid Advance,21799,Híbrido,2016-01-01,60014.0,155,5,Automático,Gris,Autohero.com
Volkswagen,Golf VII,2.0 TSI GTI,28999,Gasolina,2019-01-01,60083.0,245,3,Automático,Gris,Autohero.com
Peugeot,3008,1.6 THP GT Line,21799,Gasolina,2017-01-01,60160.0,165,5,Automático,Negro,Autohero.com
Seat,León,1.4 TSI Style,15099,Gasolina,2018-01-01,60378.0,125,5,Manual,Plata,Autohero.com
Citroen,C3 Aircross,1.2 PureTech Feel,15699,Gasolina,2020-01-01,60456.0,110,5,Manual,Gris,Autohero.com
MINI,MINI,One,9199,Gasolina,2011-01-01,60484.0,98,3,Manual,Verde,Autohero.com
Hyundai,i30,1.4 Essence,14399,Gasolina,2020-01-01,60671.0,101,5,Manual,Blanco,Autohero.com
Citroen,C 3,1.2 PureTech Shine,11899,Gasolina,2018-01-01,60704.0,82,5,Manual,Negro,Autohero.com
Ford,Tourneo,1.0 EcoBoost Trend,14299,Gasolina,2018-01-01,60815.0,100,5,Manual,Plata,Autohero.com
Hyundai,i20,1.2 Essence,11299,Gasolina,2019-01-01,60906.0,75,5,Manual,Blanco,Autohero.com
Peugeot,508,1.6 PureTech Active,22699,Gasolina,2018-01-01,61007.0,181,5,Automático,Azul,Autohero.com
Citroen,Berlingo,1.5 Blue-HDi Shine Talla M,21499,Diésel,2020-01-01,61020.0,102,5,Manual,Beige,Autohero.com
Peugeot,5008,2.0 Blue-HDi GT Line,24999,Diésel,2017-01-01,61585.0,150,5,Manual,Negro,Autohero.com
Kia,Rio,1.0 TGDI Drive,12299,Gasolina,2018-01-01,62344.0,100,5,Manual,Blanco,Autohero.com
Jeep,Compass,1.4 M-Air Limited 4WD,22899,Gasolina,2019-01-01,62566.0,170,5,Automático,Gris,Autohero.com
Nissan,Micra,1.2 Acenta,8199,Gasolina,2016-01-01,62568.0,80,5,Manual,Rojo,Autohero.com
Renault,Megane,1.2 TCe Energy Zen,15199,Gasolina,2017-01-01,62584.0,132,5,Manual,Blanco,Autohero.com
Ford,C-Max,1.0 EcoBoost Trend,9699,Gasolina,2013-01-01,62615.0,125,5,Manual,Marrón,Autohero.com
Suzuki,Vitara,1.4 GLE,15799,Gasolina,2018-01-01,62831.0,140,5,Manual,Rojo,Autohero.com
Renault,Clio,1.2 Authentique,8999,Gasolina,2015-01-01,62879.0,73,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.2 SC Reference,7899,Gasolina,2013-01-01,63098.0,70,3,Manual,Blanco,Autohero.com
Mazda,6,2.0 Style,18899,Gasolina,2018-01-01,63123.0,145,5,Manual,Gris,Autohero.com
Peugeot,2008,1.2 PureTech Allure,14999,Gasolina,2018-01-01,63202.0,110,5,Automático,Blanco,Autohero.com
Citroen,C4 Cactus,1.6 Blue-HDi Feel,11599,Diésel,2017-01-01,63225.0,100,5,Manual,Rojo,Autohero.com
Ford,Focus,1.0 EcoBoost Trend ,11999,Gasolina,2016-01-01,63270.0,125,5,Manual,Negro,Autohero.com
Skoda,Fabia,1.2 Ambition,7799,Gasolina,2014-01-01,63383.0,70,5,Manual,Rojo,Autohero.com
Toyota,Verso,1.6 Comfort,11299,Gasolina,2013-01-01,63537.0,132,5,Manual,Gris,Autohero.com
Hyundai,Tucson,1.6 25 Aniversario 4x2,17099,Gasolina,2017-01-01,63580.0,132,5,Manual,Azul,Autohero.com
Fiat,500,1.2 Lounge,10399,Gasolina,2018-01-01,63806.0,70,3,Manual,Rojo,Autohero.com
Volkswagen,Golf VII,1.4 TSI Advance,18099,Gasolina,2018-01-01,63925.0,125,5,Automático,Blanco,Autohero.com
Hyundai,Tucson,2.0 CRDi Tecno BlueDrive 2WD,21099,Diésel,2018-01-01,64069.0,135,5,Manual,Negro,Autohero.com
Citroen,C 3,1.2 PureTech Live Edition,8899,Gasolina,2016-01-01,64492.0,82,5,Manual,Blanco,Autohero.com
Audi,A4,2.0 TDI Sport,21899,Diésel,2017-01-01,64573.0,150,5,Manual,Blanco,Autohero.com
Citroen,C4 Picasso,1.2 PureTech Live Edition,12399,Gasolina,2016-01-01,64623.0,130,5,Manual,Blanco,Autohero.com
Dacia,Lodgy,1.6 SL Nomada,13999,Gasolina,2018-01-01,64677.0,102,5,Manual,Plata,Autohero.com
Peugeot,5008,1.2 PureTech Allure,22999,Gasolina,2019-01-01,64890.0,130,5,Manual,Gris,Autohero.com
Ford,Ecosport,1.5 Ti-VCT Trend,12199,Gasolina,2017-01-01,64968.0,110,5,Manual,Azul,Autohero.com
Dacia,Lodgy,1.6 SCe SL Nomada,13799,Gasolina,2018-01-01,64974.0,102,5,Manual,Azul,Autohero.com
Citroen,C-Elysée,1.6 HDi Exclusive,8099,Diésel,2014-01-01,64995.0,92,5,Manual,Blanco,Autohero.com
Toyota,Yaris,1.33 Dual VVT-i Feel!,11299,Gasolina,2016-01-01,65014.0,100,5,Manual,Gris,Autohero.com
MINI,Cabrio,Cooper D,13099,Diésel,2013-01-01,65059.0,110,3,Manual,Negro,Autohero.com
Peugeot,308,1.6 HDi Access,8199,Diésel,2012-01-01,65066.0,92,5,Manual,Negro,Autohero.com
Volkswagen,Polo,1.4 TDI Edition BlueMotion,9899,Diésel,2014-01-01,65427.0,75,5,Manual,Blanco,Autohero.com
Land,Rover Evoque,2.0 Si4 SE Dynamic,29099,Gasolina,2017-01-01,65644.0,241,5,Automático,Gris,Autohero.com
Dacia,Duster II,1.2 TCe Comfort,13999,Gasolina,2018-01-01,65706.0,125,5,Manual,Dorado,Autohero.com
Citroen,C 3,1.2 PureTech Shine,12199,Gasolina,2016-01-01,65833.0,110,5,Manual,Blanco,Autohero.com
Volkswagen,Golf VII,1.0 TSI Edition,14999,Gasolina,2018-01-01,66158.0,110,5,Manual,Gris,Autohero.com
Ford,Focus,1.0 EcoBoost Titanium,8999,Gasolina,2012-01-01,66181.0,125,5,Manual,Blanco,Autohero.com
Mercedes-Benz,Clase C,C 200 d,29399,Diésel,2019-01-01,66479.0,150,5,Automático,Negro,Autohero.com
Renault,Megane,1.2 TCe Energy Zen Sport Tourer,15299,Gasolina,2018-01-01,66619.0,132,5,Manual,Azul,Autohero.com
Mercedes-Benz,Vito Tourer,114 CDI Larga,29999,Diésel,2019-01-01,66732.0,135,5,Automático,Azul,Autohero.com
Seat,Arona,1.0 TSI FR Edition,17899,Gasolina,2019-01-01,66748.0,116,5,Automático,Naranja,Autohero.com
Citroen,C4 Cactus,PureTech Shine,11399,Gasolina,2017-01-01,67315.0,82,5,Manual,Amarillo,Autohero.com
Renault,Captur,1.5 BLUE dCi Zen,20799,Diésel,2020-01-01,67317.0,116,5,Automático,Naranja,Autohero.com
Mazda,CX-30,2.0 Skyactiv-X Mild-Hybrid Zenith 2WD,24299,Gasolina,2020-01-01,67369.0,132,5,Automático,Gris,Autohero.com
Citroen,C4 Grand Picasso,PureTech Feel,17199,Gasolina,2017-01-01,67476.0,130,5,Manual,Beige,Autohero.com
Ford,Ka,1.2 Titanium,6399,Gasolina,2015-01-01,67487.0,70,3,Manual,Blanco,Autohero.com
Renault,Clio,0.9 Energy Dynamique,9099,Gasolina,2013-01-01,67632.0,90,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.0 TSI Like,10899,Gasolina,2018-01-01,67650.0,95,5,Manual,Blanco,Autohero.com
BMW,Serie 1,120i M Sport,23899,Gasolina,2018-01-01,67656.0,185,3,Automático,Negro,Autohero.com
Citroen,C 3,1.2 PureTech Shine,12899,Gasolina,2018-01-01,67708.0,110,5,Manual,Rojo,Autohero.com
Citroen,C4 Grand Picasso,1.6 Blue-HDi Feel,16299,Diésel,2017-01-01,67889.0,120,5,Manual,Azul,Autohero.com
Peugeot,308,1.2 PureTech Allure,13099,Gasolina,2017-01-01,68334.0,130,5,Manual,Gris,Autohero.com
Subaru,Outback,2.0 Diesel Executive Plus,20799,Diésel,2016-01-01,68438.0,150,5,Automático,Gris,Autohero.com
Opel,Adam,1.4 XER Glam,9699,Gasolina,2014-01-01,68471.0,100,3,Manual,Blanco,Autohero.com
Seat,Ibiza,1.0 Style Plus,11699,Gasolina,2019-01-01,68490.0,80,5,Manual,Blanco,Autohero.com
Seat,Ibiza,1.2 TSI ST Reference,9999,Gasolina,2016-01-01,68506.0,90,5,Manual,Negro,Autohero.com
BMW,Serie 2,220i Active Tourer Advantage,18699,Gasolina,2016-01-01,69163.0,192,5,Automático,Blanco,Autohero.com
Volkswagen,Polo,1.4 TDI Sport BlueMotion,10899,Diésel,2014-01-01,69205.0,90,5,Manual,Gris,Autohero.com
Kia,Rio,1.4 CRDi Concept,8999,Diésel,2014-01-01,69290.0,90,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.2 TSI Ambition,10799,Gasolina,2017-01-01,69362.0,90,5,Manual,Azul,Autohero.com
Land,Rover Evoque,D150 Mild-Hybrid,35799,Diésel,2020-01-01,69797.0,150,5,Automático,Marrón,Autohero.com
Dacia,Duster II,1.2 TCe Comfort,14399,Gasolina,2018-01-01,69810.0,125,5,Manual,Gris,Autohero.com
Dacia,Sandero II,1.2 Ambiance,7199,Gasolina,2015-01-01,70363.0,75,5,Manual,Blanco,Autohero.com
Chevrolet,Cruze,1.6 LS,6999,Gasolina,2011-01-01,70379.0,113,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.0 TSI Style,11199,Gasolina,2017-01-01,70743.0,95,5,Manual,Blanco,Autohero.com
Nissan,Qashqai,1.6 N-Connecta,17399,Gasolina,2017-01-01,70841.0,163,5,Manual,Blanco,Autohero.com
Fiat,500C,1.2 Lounge,10599,Gasolina,2017-01-01,70914.0,70,3,Manual,Blanco,Autohero.com
Volkswagen,up!,1.0 TSI High up! BlueMotion,10899,Gasolina,2018-01-01,71079.0,90,5,Manual,Negro,Autohero.com
Volvo,XC 40,2.0 D3 2WD,26399,Diésel,2018-01-01,71181.0,150,5,Automático,Blanco,Autohero.com
Honda,Civic,1.0 VTEC Elegance,17399,Gasolina,2017-01-01,71228.0,130,5,Manual,Gris,Autohero.com
Hyundai,i20,1.2 City S,7399,Gasolina,2013-01-01,71285.0,85,5,Manual,Negro,Autohero.com
Toyota,RAV 4,2.5 Hybrid Business,30999,Híbrido,2019-01-01,71389.0,218,3,Automático,Azul,Autohero.com
Peugeot,308,1.2 PureTech Allure,12099,Gasolina,2016-01-01,71555.0,110,5,Manual,Gris,Autohero.com
Toyota,C-HR,1.8 Hybrid Active,19999,Híbrido,2019-01-01,71652.0,98,5,Automático,Gris,Autohero.com
Smart,ForTwo,0.9 Turbo Passion,13699,Gasolina,2018-01-01,71667.0,90,3,Automático,Gris,Autohero.com
Peugeot,308,1.6 Blue-HDi Style,11799,Diésel,2016-01-01,71724.0,100,5,Manual,Negro,Autohero.com
Chevrolet,Cruze,1.6 LT,7199,Gasolina,2012-01-01,71797.0,125,5,Manual,Gris,Autohero.com
Dacia,Duster,1.5 dCi Ambiance,12899,Diésel,2016-01-01,71922.0,110,5,Manual,Blanco,Autohero.com
Citroen,Berlingo,1.5 Blue-HDi Feel M,21199,Diésel,2019-01-01,71974.0,102,5,Manual,Negro,Autohero.com
Alfa,Romeo Giulietta,1.4 Turbo Sport,15299,Gasolina,2018-01-01,72064.0,120,5,Manual,Blanco,Autohero.com
Citroen,Berlingo,1.5 Blue-HDi Feel M,20399,Diésel,2019-01-01,72135.0,131,5,Manual,Gris,Autohero.com
Nissan,Juke,1.6 Visia,11799,Gasolina,2017-01-01,72148.0,95,5,Manual,Blanco,Autohero.com
Renault,Clio,0.9 TCe Energy Zen,11599,Gasolina,2018-01-01,72150.0,90,5,Manual,Rojo,Autohero.com
Citroen,C4,1.4 VTi Tonic,9599,Gasolina,2015-01-01,72209.0,95,5,Manual,Blanco,Autohero.com
Kia,Venga,1.4 Concept,9499,Gasolina,2016-01-01,72347.0,90,5,Manual,Blanco,Autohero.com
Lexus,NX-Serie,NX 300h Eco,24199,Híbrido,2016-01-01,72432.0,155,5,Automático,Gris,Autohero.com
Renault,Megane,1.5 dCi Energy Intens,13499,Diésel,2016-01-01,72504.0,110,5,Manual,Blanco,Autohero.com
Mercedes-Benz,Clase C,C 220 d Estate,21499,Diésel,2015-01-01,72517.0,170,5,Manual,Blanco,Autohero.com
Toyota,Auris,1.6 Active,10699,Gasolina,2013-01-01,72601.0,132,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.2 TSI Style,9999,Gasolina,2016-01-01,72661.0,90,5,Manual,Blanco,Autohero.com
Skoda,Octavia,1.6 TDI Ambition,11399,Diésel,2015-01-01,72942.0,105,5,Manual,Plata,Autohero.com
Ford,Tourneo,1.0 EcoBoost Courier Trend,13499,Gasolina,2018-01-01,73423.0,100,3,Manual,Blanco,Autohero.com
Ford,Mondeo,1.6 TDCi Business,10299,Diésel,2014-01-01,73837.0,115,5,Manual,Azul,Autohero.com
Dacia,Sandero,1.5 dCi Ambiance,6999,Diésel,2013-01-01,73940.0,75,5,Manual,Blanco,Autohero.com
Peugeot,3008,1.2 PureTech GT Line,20799,Gasolina,2018-01-01,73970.0,130,5,Manual,Blanco,Autohero.com
Hyundai,Kona,1.0 TGDI Klass 2WD,14599,Gasolina,2017-01-01,74204.0,120,5,Manual,Gris,Autohero.com
Toyota,Auris,1.8 Hybrid Active,14799,Híbrido,2016-01-01,74304.0,100,5,Automático,Azul,Autohero.com
Toyota,Yaris,1.5 Hybrid Active,10999,Híbrido,2013-01-01,74468.0,75,5,Automático,Blanco,Autohero.com
Hyundai,Tucson,1.6 TGDI Style 2WD,17799,Gasolina,2017-01-01,74482.0,177,5,Manual,Marrón,Autohero.com
Peugeot,308,1.2 PureTech Style,12299,Gasolina,2017-01-01,74594.0,130,5,Manual,Negro,Autohero.com
Seat,León,1.2 TSI Style,11799,Gasolina,2015-01-01,74850.0,110,5,Manual,Gris,Autohero.com
Opel,Mokka X,1.6 CDTI Selective,15099,Diésel,2018-01-01,75005.0,135,5,Manual,Gris,Autohero.com
Toyota,Yaris,1.33 Dual VVT-i Active,9999,Gasolina,2014-01-01,75255.0,100,5,Manual,Blanco,Autohero.com
Hyundai,i20,1.1 CRDi Go,7799,Diésel,2014-01-01,75375.0,75,5,Manual,Blanco,Autohero.com
Volkswagen,Tiguan,2.0 TDI T1 BlueMotion,13799,Diésel,2012-01-01,75383.0,110,5,Manual,Negro,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway Essential,10699,Gasolina,2019-01-01,75416.0,90,5,Manual,Blanco,Autohero.com
Toyota,RAV 4,2.0 Active,17099,Diésel,2015-01-01,75429.0,125,5,Manual,Negro,Autohero.com
Seat,Ibiza,1.0 TSI Style,11699,Gasolina,2017-01-01,75477.0,95,5,Manual,Blanco,Autohero.com
Opel,Corsa,1.4 Selective,9799,Gasolina,2017-01-01,75561.0,90,5,Manual,Blanco,Autohero.com
Seat,León,1.2 TSI Style,13899,Gasolina,2018-01-01,75814.0,110,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.0 Reference Full Connect,12199,Gasolina,2019-01-01,75974.0,80,5,Manual,Blanco,Autohero.com
Peugeot,Rifter,Active Standard  PureTech,18699,Gasolina,2019-01-01,76019.0,110,5,Manual,Gris,Autohero.com
Fiat,Qubo,1.3 M-Jet Trekking,9499,Diésel,2014-01-01,76261.0,95,5,Manual,Plata,Autohero.com
Citroen,C4 Grand Picasso,2.0 Blue-HDi Airdream Intensive,14599,Diésel,2014-01-01,76327.0,150,5,Automático,Gris,Autohero.com
Ford,Tourneo,1.0 EcoBoost Courier Trend,13499,Gasolina,2018-01-01,73423.0,100,5,Manual,Blanco,Autohero.com
Jeep,Compass,1.4 M-Air Limited 4x2,19999,Gasolina,2018-01-01,76504.0,140,5,Manual,Negro,Autohero.com
Peugeot,208,1.2 VTi Active,8799,Gasolina,2013-01-01,76572.0,82,5,Manual,Negro,Autohero.com
Citroen,Berlingo,1.6 Blue-HDi 20 Aniversario Edition,14699,Diésel,2017-01-01,76825.0,99,5,Manual,Negro,Autohero.com
Ford,Fiesta,1.25 Trend,7899,Gasolina,2013-01-01,76847.0,82,5,Manual,Gris,Autohero.com
Fiat,Tipo,1.3 M-Jet Easy,10199,Diésel,2017-01-01,76969.0,95,5,Manual,Negro,Autohero.com
Kia,cee'd,1.4 CRDi Drive,9699,Diésel,2013-01-01,76991.0,90,5,Manual,Blanco,Autohero.com
Opel,Corsa,1.4 Business,8699,Gasolina,2017-01-01,77167.0,90,5,Manual,Blanco,Autohero.com
Toyota,Auris,1.2 Turbo Active,13399,Gasolina,2016-01-01,77489.0,115,5,Manual,Blanco,Autohero.com
Peugeot,3008,1.5 Blue-HDi Allure,21699,Diésel,2018-01-01,77926.0,130,5,Automático,Azul,Autohero.com
Peugeot,2008,1.6 Blue-HDi Allure,13499,Diésel,2017-01-01,78018.0,100,5,Manual,Gris,Autohero.com
Mitsubishi,ASX,1.6 MPI Motion,14099,Gasolina,2016-01-01,78149.0,117,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.2 TSI Reference,8299,Gasolina,2014-01-01,78282.0,85,5,Manual,Azul,Autohero.com
Mitsubishi,ASX,1.6 Motion 2WD,14899,Gasolina,2018-01-01,78302.0,117,5,Manual,Rojo,Autohero.com
Subaru,XV,2.0 Sport Plus,20599,Gasolina,2018-01-01,78396.0,155,5,Automático,Gris,Autohero.com
Citroen,Spacetourer,2.0 Blue-HDi Business XL,26999,Diésel,2018-01-01,78416.0,115,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.0 Full Connect,9999,Gasolina,2017-01-01,78479.0,75,5,Manual,Gris,Autohero.com
Opel,Astra K,1.6 CDTI Dynamic ,13599,Diésel,2017-01-01,78883.0,135,5,Manual,Azul,Autohero.com
Peugeot,208,1.2 PureTech Allure,9699,Gasolina,2016-01-01,79014.0,82,5,Manual,Azul,Autohero.com
Renault,Clio,0.9 Energy Limited,10899,Gasolina,2018-01-01,79018.0,90,5,Manual,Gris,Autohero.com
Jeep,Renegade,1.0 TGDi Longitude 4x2,15999,Gasolina,2019-01-01,79075.0,120,5,Manual,Negro,Autohero.com
Skoda,Fabia,1.0 TSI Like,11099,Gasolina,2018-01-01,79225.0,95,5,Manual,Blanco,Autohero.com
Jeep,Renegade,1.4 M-Air Limited 4x2,17899,Gasolina,2016-01-01,79567.0,140,5,Manual,Negro,Autohero.com
Citroen,C4 Picasso,1.2 PureTech Feel,12599,Gasolina,2016-01-01,79735.0,130,3,Manual,Gris,Autohero.com
Seat,Ibiza,1.2 TSI Style I-Tech 30 Aniversario,9399,Gasolina,2014-01-01,79766.0,85,5,Manual,Rojo,Autohero.com
Renault,Captur,1.2 TCe Zen Energy,13299,Gasolina,2015-01-01,79782.0,120,5,Automático,Azul,Autohero.com
Renault,Megane,1.6 dCi Energy GT-Line,16299,Diésel,2017-01-01,79993.0,130,5,Manual,Azul,Autohero.com
Volkswagen,Golf VII,1.6 TDI Business BlueMotion Tech,14299,Diésel,2017-01-01,80238.0,110,5,Manual,Plata,Autohero.com
Kia,Sportage,1.6 Emotion 2WD,15799,Gasolina,2017-01-01,80264.0,132,5,Manual,Negro,Autohero.com
Kia,Rio,1.2 Drive,8499,Gasolina,2014-01-01,80317.0,85,5,Manual,Marrón,Autohero.com
Fiat,500,1.2 Lounge,7799,Gasolina,2014-01-01,80424.0,70,3,Manual,Blanco,Autohero.com
Peugeot,5008,1.2 PureTech Active,19999,Gasolina,2018-01-01,80604.0,130,5,Automático,Blanco,Autohero.com
Peugeot,3008,1.5 BlueHDi Allure,18499,Diésel,2019-01-01,80656.0,130,5,Manual,Gris,Autohero.com
Fiat,Doblò,1.3 M-Jet Panorama Active N1,9999,Diésel,2015-01-01,80658.0,90,5,Manual,Blanco,Autohero.com
Nissan,Micra,1.0 Visia,10699,Gasolina,2019-01-01,80907.0,71,5,Manual,Blanco,Autohero.com
Toyota,AYGO,1.0 City,7499,Gasolina,2013-01-01,81097.0,68,5,Automático,Rojo,Autohero.com
Hyundai,IONIQ,1.6 Hybrid Tecno,16799,Híbrido,2017-01-01,81370.0,105,5,Automático,Azul,Autohero.com
Citroen,Berlingo,1.6 Blue-HDi 20 Aniversario Edition,14899,Diésel,2017-01-01,81508.0,99,5,Manual,Blanco,Autohero.com
Toyota,Auris,1.8 Hybrid Feel!,15799,Híbrido,2019-01-01,81540.0,100,5,Automático,Gris,Autohero.com
Mercedes-Benz,Clase C,C 220 d Avantgarde,24299,Diésel,2017-01-01,81748.0,170,5,Automático,Blanco,Autohero.com
Citroen,C4 Picasso,1.2 PureTech Feel,12599,Gasolina,2016-01-01,79735.0,130,5,Manual,Gris,Autohero.com
Jeep,Compass,1.4 M-Air Longitude 4x2,18399,Gasolina,2018-01-01,82110.0,140,5,Manual,Azul,Autohero.com
Volkswagen,Polo,1.2 TSI Sport,9999,Gasolina,2012-01-01,82164.0,90,3,Automático,Rojo,Autohero.com
Toyota,AYGO,1.0 City,6899,Gasolina,2013-01-01,82167.0,68,5,Manual,Blanco,Autohero.com
Mercedes-Benz,Clase C,C 220 Diesel AMG Line,28399,Diésel,2019-01-01,82259.0,194,5,Automático,Gris,Autohero.com
Nissan,Juke,1.5 Acenta,10299,Diésel,2013-01-01,82505.0,110,5,Manual,Gris,Autohero.com
Toyota,AYGO,1.0 X-Play,8599,Gasolina,2016-01-01,82566.0,70,5,Manual,Rojo,Autohero.com
Fiat,500,1.2 Lounge,9599,Gasolina,2018-01-01,82576.0,70,3,Manual,Blanco,Autohero.com
Opel,Insignia Grand Sport,2.0 CDTI Excellence,15199,Diésel,2017-01-01,82816.0,170,5,Manual,Gris,Autohero.com
BMW,Serie 2,218d M Sport,23699,Diésel,2018-01-01,82821.0,150,3,Automático,Negro,Autohero.com
Seat,Ibiza,1.2 Reference,8599,Gasolina,2015-01-01,82997.0,70,3,Manual,Blanco,Autohero.com
Fiat,Tipo,1.4 Easy,9799,Gasolina,2017-01-01,83327.0,95,5,Manual,Marrón,Autohero.com
Peugeot,308,1.6 Blue-HDi Style,11099,Diésel,2016-01-01,83390.0,100,5,Manual,Negro,Autohero.com
Ford,Fiesta,1.25 Trend,7999,Gasolina,2013-01-01,83497.0,82,5,Manual,Rojo,Autohero.com
Dacia,Sandero II,0.9 Stepway,8099,Gasolina,2014-01-01,83659.0,90,5,Manual,Blanco,Autohero.com
Dacia,Logan MCV II,0.9 TCe Laureate,8799,Gasolina,2015-01-01,83721.0,90,5,Manual,Marrón,Autohero.com
Toyota,Auris Touring Sports,1.8 Hybrid Feel! Edition,17499,Híbrido,2019-01-01,83757.0,99,5,Automático,Blanco,Autohero.com
Opel,Combo,1.3 CDTI L1H1,10399,Diésel,2015-01-01,84219.0,90,5,Manual,Blanco,Autohero.com
Skoda,Fabia,1.2 Spirit,6099,Gasolina,2011-01-01,84241.0,60,5,Manual,Blanco,Autohero.com
Renault,Megane,1.2 TCe Sport Tourer Zen Energy,14499,Gasolina,2018-01-01,84394.0,130,5,Manual,Azul,Autohero.com
Mercedes-Benz,Clase E,E 220 d AMG,24499,Diésel,2016-01-01,84406.0,170,5,Automático,Azul,Autohero.com
Citroen,C 3,1.2 PureTech Tonic,7899,Gasolina,2015-01-01,84756.0,82,5,Manual,Blanco,Autohero.com
Jeep,Renegade,1.6 Sport FWD,15099,Gasolina,2017-01-01,84816.0,110,5,Manual,Negro,Autohero.com
Renault,Grand Scenic,1.2 TCe Intens,15499,Gasolina,2017-01-01,84933.0,132,5,Manual,Azul,Autohero.com
Hyundai,i20,1.0 TGDI Tecno,12699,Gasolina,2019-01-01,84990.0,100,5,Automático,Negro,Autohero.com
Seat,León,1.5 TSI FR Edition,18899,Gasolina,2019-01-01,85152.0,150,5,Manual,Gris,Autohero.com
Ford,Tourneo Courier,1.0 Ecoboost Titanium,12799,Gasolina,2018-01-01,85412.0,100,5,Manual,Blanco,Autohero.com
Volkswagen,Polo,1.2 TSI Advance BlueMotion,10799,Gasolina,2014-01-01,85457.0,90,3,Automático,Rojo,Autohero.com
Citroen,C 3,1.2 PureTech Feel,10299,Gasolina,2017-01-01,85515.0,82,5,Manual,Rojo,Autohero.com
