Marca;Modelo;Version;Kms;Potencia;Antiguedad;Combustible;Cambio;Precio
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS Titanium 5p.";8959;125;2019;Gasolina;Manual;15899
NISSAN;JUKE;"NISSAN JUKE dCi E6C 81 kW 110 CV 6MT ACENTA 5p.";15000;110;2018;Diesel;Manual;15900
HYUNDAI;i30;"HYUNDAI i30 1.0 TGDI Essence 5p.";12;120;2019;Gasolina;Manual;15900
TOYOTA;Auris;"TOYOTA Auris 1.2 120T ACTIVE 5p.";6941;116;2018;Gasolina;Manual;15900
SEAT;Arona;"SEAT Arona 1.6 TDI 85kW 115CV Style Ecomotive 5p.";9100;115;2019;Diesel;Manual;15900
NISSAN;JUKE;"NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.";4500;112;2018;Gasolina;Manual;15900
SEAT;Arona;"SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.";16797;115;2019;Gasolina;Manual;15900
CITROEN;"C4 Cactus";"CITROEN C4 Cactus PureTech 110 SS Feel 5p.";10000;110;2020;Gasolina;Manual;15900
OPEL;"Crossland X";"OPEL Crossland X 1.2 96kW 130CV Innovation SS 5p.";14367;130;2019;Gasolina;Manual;15900
CITROEN;C3;"CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.";4000;110;2020;Gasolina;Manual;15900
PEUGEOT;308;"PEUGEOT 308 5p Style 1.2 PureTech 96KW 130CV 5p.";14374;130;2018;Gasolina;Manual;15900
PEUGEOT;Partner;"PEUGEOT Partner Furgon Confort PackL1 BlueHDI 88KW 120";100;120;2019;Diesel;Manual;15900
SEAT;Arona;"SEAT Arona 1.0 TSI 85kW 115CV Style Ecomotive 5p.";6500;115;2019;Gasolina;Manual;15900
FIAT;500X;"FIAT 500X City cross 1.6 Mjet 88KW 120 cv SS 5p.";13552;120;2019;Diesel;Manual;15900
PEUGEOT;2008;"PEUGEOT 2008 Allure PureTech 110 SS 6 Vel. MAN 5p.";15900;110;2019;Gasolina;Manual;15900
FIAT;Tipo;"FIAT Tipo 1.6 Mirror 88kW diesel Multijet DDCT 5P 5p.";18936;120;2019;Diesel;Automatico;15900
RENAULT;Megane;"RENAULT Megane Limited TCe GPF 85 kW 115CV 5p.";5417;115;2020;Gasolina;Manual;15900
NISSAN;JUKE;"NISSAN JUKE dCi E6C 81 kW 110 CV 6MT ACENTA 5p.";15000;110;2018;Diesel;Manual;15900
FIAT;Tipo;"FIAT Tipo 1.6 Lounge 88kW 120CV diesel Multijet 4p.";9100;120;2018;Diesel;Manual;15900
OPEL;"Crossland X";"OPEL Crossland X 1.2 81kW Design Line 120 Aniversario SS 5p.";10413;110;2019;Gasolina;Manual;15950
CITROEN;"C3 Aircross";"CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.";2;110;2020;Gasolina;Manual;15970
CITROEN;"C3 Aircross";"CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.";2;110;2020;Gasolina;Manual;15979
CITROEN;"C3 Aircross";"CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.";2;110;2020;Gasolina;Manual;15979
CITROEN;"C3 Aircross";"CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.";4;110;2020;Gasolina;Manual;15979
DACIA;Duster;"DACIA Duster Comfort 1.6 85kW 115CV 4X2  18 MY 5p.";150;115;2019;Gasolina;Manual;15990
FIAT;Tipo;"FIAT Tipo 5P 1.6 88kW 120CV Multijet II Lounge 5p.";1107;120;2019;Diesel;Manual;15990
SEAT;Arona;"SEAT Arona 1.0 TSI 85kW 115CV FR Edition Eco 5p.";17000;115;2019;Gasolina;Manual;15990
SEAT;Arona;"SEAT Arona 1.0 TSI 85kW 115CV FR Edition Eco 5p.";13000;115;2020;Gasolina;Manual;15990
OPEL;"Crossland X";"OPEL Crossland X 1.2 81kW Design Line 120 Aniversario SS 5p.";4950;110;2019;Gasolina;Manual;15990
CITROEN;"C3 Aircross";"CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.";1164;110;2020;Gasolina;Manual;15990
PEUGEOT;308;"PEUGEOT 308 5p Style 1.2 PureTech 81KW 110CV 5p.";15015;110;2019;Gasolina;Manual;15990
CITROEN;"C4 Cactus";"CITROEN C4 Cactus PureTech 110 SS Origins 5p.";13200;110;2020;Gasolina;Manual;15990
PEUGEOT;208;"PEUGEOT 208 5P GTLine 1.2L PT EAT6 81KW 110CV SS 5p.";8358;110;2019;Gasolina;Automatico;15990
OPEL;"Crossland X";"OPEL Crossland X 1.2 96kW 130CV Innovation SS 5p.";9999;130;2019;Gasolina;Manual;15990
CITROEN;"C4 Cactus";"CITROEN C4 Cactus PureTech 110 SS Shine 5p.";17545;110;2019;Gasolina;Manual;15990
FORD;Focus;"FORD Focus 1.0 Ecoboost 92kW Trend 5p.";11774;125;2019;Gasolina;Manual;15990
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.";4000;125;2019;Gasolina;Manual;15990
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.";14995;125;2019;Gasolina;Manual;15995
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.";14200;125;2019;Gasolina;Manual;15995
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.";14995;125;2019;Gasolina;Manual;15995
FORD;EcoSport;"FORD EcoSport 1.0T EcoBoost 92kW 125CV SS ST Line 5p.";16400;125;2019;Gasolina;Manual;15995
SEAT;Arona;"SEAT Arona 1.0 TSI 85kW 115CV Style Edition Eco 5p.";16000;115;2019;Gasolina;Manual;15995
