Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Ford Focus, ","Ford Focus, ",1.0 EcoBoost Mild-Hybrid ST-Line,20.699 €,Gasolina,12.2020,21.269 km,125 CV / 92 kW,5,Cambio tipo manual,Azul
"Ford Ecosport, ","Ford Ecosport, ",1.0 EcoBoost Trend,14.599 €,Gasolina,09.2017,21.207 km,125 CV / 92 kW,5,Cambio tipo manual,Blanco
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Allure,15.999 €,Gasolina,02.2020,21.387 km,101 CV / 74 kW,5,Cambio tipo manual,Blanco
"Seat Ibiza, ","Seat Ibiza, ",1.0 MPI Style,12.999 €,Gasolina,11.2018,21.397 km,80 CV / 59 kW,5,Cambio tipo manual,Blanco
"Jeep Renegade, ","Jeep Renegade, ",1.0 TGDi Limited 4x2,19.099 €,Gasolina,06.2020,21.610 km,120 CV / 88 kW,5,Cambio tipo manual,Azul
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Reference,12.799 €,Gasolina,01.2018,21.947 km,95 CV / 70 kW,5,Cambio tipo manual,Azul
"Fiat 500, ","Fiat 500, ",1.2 Lounge,8.599 €,Gasolina,07.2012,21.713 km,70 CV / 51 kW,3,Cambio tipo manual,Blanco
"Mazda CX 3, ","Mazda CX 3, ",2.0 Skyactiv-G Zenith,20.799 €,Gasolina,06.2019,22.237 km,121 CV / 89 kW,5,Cambio tipo automático,Rojo
"MINI MINI, ","MINI MINI, ",Cooper S Cabrio,,Gasolina,07.2020,22.289 km,192 CV / 141 kW,2,Cambio tipo automático,Azul
"Skoda Superb, ","Skoda Superb, ",1.5 TSI Style,26.999 €,Gasolina,10.2020,22.875 km,150 CV / 110 kW,5,Cambio tipo automático,Marrón
"Dacia Duster II, ","Dacia Duster II, ",1.6 SCe Essential,13.899 €,Gasolina,10.2018,22.841 km,114 CV / 84 kW,5,Cambio tipo manual,Plata
"Dacia Sandero II, ","Dacia Sandero II, ",0.9 TCe SL Xplore,,Gasolina,10.2019,23.278 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Toyota C-HR, ","Toyota C-HR, ",2.0 Hybrid Advance,27.599 €,Híbrido,03.2022,23.446 km,184 CV / 135 kW,5,Cambio tipo automático,Azul
"Cupra Formentor, ","Cupra Formentor, ",1.5 TSI,28.099 €,Gasolina,11.2021,23.558 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Kia Sportage, ","Kia Sportage, ",1.6 CRDi Mild-Hybrid Business 4WD,22.699 €,Diésel,10.2021,23.612 km,136 CV / 100 kW,5,Cambio tipo manual,Blanco
"Chevrolet Aveo, ","Chevrolet Aveo, ",1.4 LS,6.199 €,Gasolina,01.2012,23.614 km,100 CV / 74 kW,5,Cambio tipo manual,Gris
"Dacia Duster II, ","Dacia Duster II, ",1.2 TCe Comfort,,Gasolina,05.2018,23.622 km,125 CV / 92 kW,5,Cambio tipo manual,Negro
"Suzuki SX4 S-Cross, ","Suzuki SX4 S-Cross, ",1.0 DITC GLX,17.599 €,Gasolina,08.2019,23.704 km,110 CV / 82 kW,5,Cambio tipo manual,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 PureTech Allure,16.899 €,Gasolina,04.2019,23.743 km,130 CV / 96 kW,5,Cambio tipo manual,Negro
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Style,,Gasolina,05.2017,23.884 km,82 CV / 60 kW,5,Cambio tipo manual,Gris
