Marca,Modelo,Version,Precio,Combustible,Antiguedad,Kms_desde,Kms_hasta,Potencia,Cambio,Vehiculo,Url_foto,categoria,Caracteristicas,Grupo,Puede_comprarse,Plazas,Estado,Centimetros_cubicos
Audi,A1,30 TFSi S Line,449.0,GAS,2019-01-01,20000.0,60000.0,116,MANUAL,Audi A1,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e68ae05cb14fd00a938e543/vehicle-images/62437cfa594174a2ca6e8b1f_2022_03_29_23_41_14.png,Utilitario,"Gasolina,116 Cv,5 Plazas,Manual,S Line",1,True,5,OPPORTUNITY,1000.0
Mercedes-Benz,GLC Coupe,250 AMG Line 4Matic,795.0,GAS,2018-01-01,20000.0,100000.0,211,AUTOMATIC,Mercedes-Benz GLC Coupe,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/62261c080c36e694ec529280/vehicle-images/63440446993af5e0cced1c0b_2022_10_10_13_38_46.png,D-SUV,"170 Cv,5 Plazas,Automatico,Diesel,Gris",1,True,5,OPPORTUNITY,1991.0
Volkswagen,T-Roc,TSI Advance R-Line,529.0,GAS,2022-01-01,10000.0,50000.0,110,MANUAL,Volkswagen T-Roc,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e3061ded8399d00ad364874/vehicle-images/62552ec292317a3623a7e95e_2022_04_12_09_48_18.png,Utilitario,,1,True,5,OPPORTUNITY,999.0
Mercedes-Benz,GLC,250 4MATIC,0.0,GAS,2018-01-01,30000.0,100000.0,211,AUTOMATIC,Mercedes-Benz GLC,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/606302b82faf7e00955e1a1f/vehicle-images/6294a2f1dba55985b10a50f9_2022_05_30_12_56_49.png,D-SUV,"170 Cv,5 Plazas,Automatico,Diesel,Gris",1,True,5,OPPORTUNITY,2000.0
BMW,Serie 3,318d Touring,549.0,DIESEL,2019-01-01,70000.0,100000.0,150,AUTOMATIC,BMW Serie 3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60338a50c37ea000a54e2127/vehicle-images/627e3bd88d2d684258610d10_2022_05_13_13_07_04.png,SW,"Diesel,150 Cv,5 Plazas,Automatico,Business",1,True,5,OPPORTUNITY,3000.0
Seat,Leon,1.5 TSi Style Visio,399.0,GAS,2019-01-01,30000.0,50000.0,130,MANUAL,Seat Leon,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e25742c90472300a55606fc/vehicle-images/62438c980989fcf36fa4b927_2022_03_30_00_47_52.png,Compacto,"115 Cv,5 Plazas,Manual,Diesel,Seminuevo",1,True,5,OPPORTUNITY,1500.0
Fiat,500,1.2 Lounge 69CV,339.0,GAS,2019-01-01,20000.0,80000.0,69,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a24becfb2bb0008dc6250c/vehicle-images/6246b5e60dc7c5c7de220ea4_2022_04_01_10_20_54.png,CityCar,,1,True,4,OPPORTUNITY,0.0
Audi,A1,30 TFSi S Line,465.0,GAS,2019-01-01,20000.0,60000.0,116,MANUAL,Audi A1,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e68ae05cb14fd00a938e543/vehicle-images/62437cfa594174a2ca6e8b1f_2022_03_29_23_41_14.png,Utilitario,"Gasolina,116 Cv,5 Plazas,Manual,S Line",1,True,5,OPPORTUNITY,1000.0
BMW,X2,xDrive25e,649.0,HYBRID,2021-01-01,10000.0,30000.0,220,AUTOMATIC,BMW X2,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a273c8d988e1008d1dcf68/vehicle-images/62439c262ed084401c3aae3a_2022_03_30_01_54_14.png,C-SUV,,1,True,5,OPPORTUNITY,1499.0
Mazda,CX5,2.2 Zenith,589.0,DIESEL,2019-01-01,40000.0,60000.0,150,AUTOMATIC,Mazda CX5,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5d65013a91895800251c10e7/vehicle-images/63cffc5ddb79d7ea390eedda_2023_01_24_16_42_21.png,C-SUV,,1,True,5,OPPORTUNITY,2200.0
Seat,Leon,1.5 TSi Style Visio,389.0,GAS,2019-01-01,30000.0,50000.0,130,MANUAL,Seat Leon,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e25742c90472300a55606fc/vehicle-images/62438c980989fcf36fa4b927_2022_03_30_00_47_52.png,Compacto,"115 Cv,5 Plazas,Manual,Diesel,Seminuevo",1,True,5,OPPORTUNITY,1500.0
Mercedes-Benz,Clase A,180d,499.0,DIESEL,2019-01-01,10000.0,30000.0,116,AUTOMATIC,Mercedes-Benz Clase A,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/619e6c42e7db7400889a8b17/vehicle-images/62667831f8e46fb19bb6e72d_2022_04_25_12_30_09.png,Compacto,,1,True,5,OPPORTUNITY,1950.0
Renault,Clio,1.0 equilibre TCe,379.0,GAS,2022-01-01,0.0,0.0,90,MANUAL,Renault Clio,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/633c56a7142c188e52f7de49/vehicle-images/6351649e962a7e090f87ad4f_2022_10_20_17_09_18.png,Utilitario,"85Cv de potencia,Color disponible Blanco,Vehiculo hibrido de Gasolina y Gas",4,True,5,NEW,1000.0
Peugeot,208,1.5 BlueHDI Active,345.0,DIESEL,2019-01-01,30000.0,90000.0,100,MANUAL,Peugeot 208,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e25a7553eb41200a4a846fe/vehicle-images/626675039aedd5237f5bfc3a_2022_04_25_12_16_35.png,Utilitario,"85Cv de potencia,Color disponible - Blanco",1,True,5,OPPORTUNITY,1499.0
Ford,Fiesta,1.1 Ti-VCT Trend+,339.0,GAS,2019-01-01,20000.0,70000.0,85,MANUAL,Ford Fiesta,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/6093f90d320cff0086bc58eb/vehicle-images/64830b11cdcd8a26abbebfab_2023_06_09_13_20_49.png,Utilitario,,1,True,5,OPPORTUNITY,1084.0
Nissan,Micra,IG-T Acenta,345.0,GAS,2019-01-01,10000.0,80000.0,90,MANUAL,Nissan Micra,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fd0de70c3c97a00a35658f2/vehicle-images/62a74a60593f1e57d070e370_2022_06_13_16_32_00.png,Utilitario,"Acabado Acenta,Disponible en gasolina o diesel,85Cv de potencia,Colores disponibles Gris - Naranja",1,True,5,OPPORTUNITY,1000.0
Toyota,Yaris,Hybrid Business Plus,369.0,HYBRID,2022-01-01,0.0,0.0,116,AUTOMATIC,Toyota Yaris,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/61c0871cf14e0500881cd075/vehicle-images/624391dd227b6be55eb4462e_2022_03_30_01_10_21.png,Utilitario,,1,True,5,OPPORTUNITY,0.0
Peugeot,3008,1.5 GT Line BlueHDi,459.0,DIESEL,2018-01-01,80000.0,95000.0,130,MANUAL,Peugeot 3008,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60b8ae4d12c0270084627399/vehicle-images/6284d0a86578d0e93b48205b_2022_05_18_12_55_36.png,C-SUV,"130 Cv,Acabado GT Line",1,True,5,OPPORTUNITY,1499.0
Fiat,500,1.2 Lounge 69CV,339.0,GAS,2018-01-01,20000.0,80000.0,69,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a24becfb2bb0008dc6250c/vehicle-images/6246b5e60dc7c5c7de220ea4_2022_04_01_10_20_54.png,CityCar,,1,True,4,OPPORTUNITY,0.0
Mercedes-Benz,GLC Coupe,250 AMG Line 4Matic,0.0,GAS,2018-01-01,20000.0,100000.0,211,AUTOMATIC,Mercedes-Benz GLC Coupe,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/62261c080c36e694ec529280/vehicle-images/63440446993af5e0cced1c0b_2022_10_10_13_38_46.png,D-SUV,"170 Cv,5 Plazas,Automatico,Diesel,Gris",1,True,5,OPPORTUNITY,1991.0
Toyota,Rav 4,2.5l Feel,0.0,HYBRID,2019-01-01,20000.0,95000.0,218,AUTOMATIC,Toyota Rav 4,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5d9c5f80e0182c002568c99c/vehicle-images/630732c8e7f931443dafcfc6_2022_08_25_10_28_56.png,D-SUV,,1,True,5,OPPORTUNITY,2487.0
Fiat,500,1.2 Lounge 69CV,339.0,GAS,2018-01-01,20000.0,90000.0,69,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a24becfb2bb0008dc6250c/vehicle-images/6246b5e60dc7c5c7de220ea4_2022_04_01_10_20_54.png,CityCar,,1,True,4,OPPORTUNITY,0.0
BMW,X2,xDrive25e,679.0,HYBRID,2021-01-01,10000.0,30000.0,220,AUTOMATIC,BMW X2,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a273c8d988e1008d1dcf68/vehicle-images/62439c262ed084401c3aae3a_2022_03_30_01_54_14.png,C-SUV,,1,True,5,OPPORTUNITY,1499.0
BMW,X3,xDrive20d,0.0,DIESEL,2018-01-01,60000.0,90000.0,190,AUTOMATIC,BMW X3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60af7453aebe130099733e87/vehicle-images/629609a07805ca862da4aec6_2022_05_31_14_27_12.png,D-SUV,,1,True,5,OPPORTUNITY,1995.0
BMW,Serie 3,318d Touring,0.0,DIESEL,2019-01-01,70000.0,100000.0,150,AUTOMATIC,BMW Serie 3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60338a50c37ea000a54e2127/vehicle-images/627e3bd88d2d684258610d10_2022_05_13_13_07_04.png,SW,"Diesel,150 Cv,5 Plazas,Automatico,Business",1,True,5,OPPORTUNITY,3000.0
